Clip,FilterID,fc,N,Window,E_0_150,E_0_200,E_0_250,E_250_1000,E_1000plus,Retention,Leakage
clip1_bass_drum,fc150_N500_blackman,150,500,blackman,0.0123158661899095,0.0134658459938793,0.013502289495974,1.03195625290964e-05,1.38960151285732e-07,0.544748943138492,0.140451199326022
clip1_bass_drum,fc150_N500_hamming,150,500,hamming,0.0120053579811504,0.0129504906278131,0.0129669600974,1.91085797876854e-06,1.34140849753547e-07,0.531014706670746,0.111369037061615
clip1_bass_drum,fc150_N500_hann,150,500,hann,0.0116269865711921,0.0125794972836148,0.0125998331057766,2.69395899917679e-06,1.30096412295019e-07,0.514278780629467,0.113304110965259
clip1_bass_drum,fc150_N500_rectwin,150,500,rectwin,0.0167863010598636,0.0176743530920296,0.0176796982159978,7.68996861302951e-06,1.96541445679509e-07,0.742482877010895,0.0998282563835346
clip1_bass_drum,fc150_N50_blackman,150,50,blackman,0.02230106782137,0.0268095001134999,0.0274408447657061,0.00191366409483051,1.15527802067175e-05,0.986409152163775,0.906006143596005
clip1_bass_drum,fc150_N50_hamming,150,50,hamming,0.0221192780770642,0.0265518546098671,0.0271627193452244,0.0017572773758331,4.229078821042e-06,0.978368323402163,0.870619270892792
clip1_bass_drum,fc150_N50_hann,150,50,hann,0.0222146630539951,0.0266869434661104,0.027308469775049,0.00183526876353668,6.5729222825365e-06,0.982587341745914,0.88837858353398
clip1_bass_drum,fc150_N50_rectwin,150,50,rectwin,0.0215817247460278,0.0257919989708172,0.0263440241280753,0.00137056704813706,2.47764310742251e-06,0.954591545995913,0.779953227279977
clip1_bass_drum,fc200_N1000_blackman,200,1000,blackman,0.0209424017290647,0.0239283310728672,0.023999006139764,5.50478470628398e-06,2.44216171050089e-07,0.87822925102445,0.0222570230047159
clip1_bass_drum,fc200_N1000_hamming,200,1000,hamming,0.0222169952396867,0.0256741287462288,0.0257324511201291,1.82017005821793e-06,2.61082640540886e-07,0.942304366771033,0.0169734074928324
clip1_bass_drum,fc200_N1000_hann,200,1000,hann,0.0219609138831764,0.0252778960297832,0.0253391206360095,2.19736446705643e-06,2.57339419772934e-07,0.927761640797556,0.018063484611387
clip1_bass_drum,fc200_N1000_rectwin,200,1000,rectwin,0.0255181836246853,0.0308940867581064,0.0309348166829509,5.18894464896096e-06,3.1156712285929e-07,1.13388980585536,0.0121666847624226
clip1_bass_drum,fc200_N100_blackman,200,100,blackman,0.021455208511172,0.0256153275152884,0.0261552952352521,0.00132527295305529,3.84360486548621e-07,0.940146215379246,0.598720804143973
clip1_bass_drum,fc200_N100_hamming,200,100,hamming,0.0208446515257954,0.0247601608781781,0.0252397301264831,0.0010362516236232,2.65270739267577e-07,0.90875947332342,0.48601630761321
clip1_bass_drum,fc200_N100_hann,200,100,hann,0.0211456449394859,0.0251805599354239,0.0256889655304783,0.00116236467424234,2.77432488512046e-07,0.924189164096758,0.535975749511939
clip1_bass_drum,fc200_N100_rectwin,200,100,rectwin,0.0190830427146746,0.0223162849119342,0.0226398477784353,0.000467589268057286,6.62906431592091e-07,0.819063148373088,0.252600915651192
